Sun Jan 15 04:13:13 MSK 2017; 6.0*9.0=54.0; test
Sun Jan 15 04:13:14 MSK 2017; 6.0/54.0=9.0; test
Sun Jan 15 04:13:16 MSK 2017; -2156.0*9.0=-19404.0; test
Sun Jan 15 04:13:17 MSK 2017; -36.0*-19404.0=698544.0; test
Sun Jan 15 04:13:19 MSK 2017; 3.0-698544.0=698541.0; test
Sun Jan 15 04:13:21 MSK 2017; 6.0*698541.0=4191246.0; test
Sun Jan 15 16:40:20 MSK 2017; 3.0-5.0=2.0; test
Sun Jan 15 16:40:23 MSK 2017; 6.0--3.0=-9.0; test
Sun Jan 15 16:40:24 MSK 2017; 9.0--9.0=-18.0; test
Sun Jan 15 16:40:26 MSK 2017; 8.0--18.0=-26.0; test
Sun Jan 15 20:34:09 MSK 2017; 3.0*563.0=1689.0; test
Sun Jan 15 21:17:57 MSK 2017; 5.0*366.0=1830.0; null
Sun Jan 15 21:17:59 MSK 2017; 3.0+1830.0=1833.0; null
Sun Jan 15 21:17:59 MSK 2017; 3.0+1833.0=1836.0; null
Sun Jan 15 21:18:00 MSK 2017; 3.0+1836.0=1839.0; null
Sun Jan 15 21:19:04 MSK 2017; 6.0*6.0=36.0; vasya
Sun Jan 15 21:19:05 MSK 2017; 3.0+36.0=39.0; vasya
Sun Jan 15 21:19:05 MSK 2017; 9.0/39.0=4.333333333333333; vasya
Sun Jan 15 21:19:07 MSK 2017; 5.0-4.333333333333333=-0.666666666666667; vasya
Sun Jan 15 21:19:16 MSK 2017; 9.0*-0.666666666666667=-6.000000000000003; vasya
Sun Jan 15 21:19:18 MSK 2017; 6.0*-6.000000000000003=-36.000000000000014; vasya
Sun Jan 15 21:19:19 MSK 2017; 3.0*-36.000000000000014=-108.00000000000004; vasya
Sun Jan 15 21:19:19 MSK 2017; 6.0*-108.00000000000004=-648.0000000000002; vasya
Sun Jan 15 21:22:28 MSK 2017; 6.0*6.0=36.0; 123
Sun Jan 15 21:22:29 MSK 2017; 3.0*36.0=108.0; 123
Sun Jan 15 21:22:29 MSK 2017; 3.0*108.0=324.0; 123
Sun Jan 15 21:22:30 MSK 2017; 6.0*324.0=1944.0; 123
Sun Jan 15 21:22:30 MSK 2017; 9.0*1944.0=17496.0; 123
Sun Jan 15 21:22:31 MSK 2017; 9.0*17496.0=157464.0; 123
Sun Jan 15 21:22:35 MSK 2017; 9.99999999999E11/157464.0=1.5746400000015746E-7; 123
Sun Jan 15 21:22:42 MSK 2017; 6.0*1.5746400000015746E-7=9.447840000009447E-7; 123
Sun Jan 15 21:22:52 MSK 2017; 6.0*3.0=18.0; 123
Tue Jan 17 13:21:37 MSK 2017; 2.0*3.6=7.2; 123
Tue Jan 17 13:21:59 MSK 2017; 6.0+54555.0=54561.0; 123
Tue Jan 17 13:22:01 MSK 2017; 6.0+54561.0=54567.0; 123
Tue Jan 17 13:24:52 MSK 2017; 6.0*3.0=3.0; 123
Tue Jan 17 13:25:01 MSK 2017; 13.0-13.0=7.0; 123
Tue Jan 17 13:25:45 MSK 2017; 13.0--6.0=-19.0; 123
Tue Jan 17 13:26:35 MSK 2017; -6.0-13.0=-19.0; 123
